43.26406667,-2.92385
43.2642,-2.92401667
43.26433333,-2.92418333
43.26446667,-2.92435
43.2646,-2.92451667
43.26473333,-2.92468333
43.26486667,-2.92486667
43.26498333,-2.92503333
43.26511667,-2.9252
43.26525,-2.92536667
43.26538333,-2.92553333
43.26551667,-2.9257
43.26565,-2.92586667
43.26578333,-2.92605
43.2659,-2.92621667
43.26603333,-2.92638333
43.26616667,-2.92655
43.2663,-2.92671667
43.26643333,-2.92688333
43.26656667,-2.92705
43.2667,-2.92723333
43.26683333,-2.9274
43.26695,-2.92756667
43.26708333,-2.92773333
43.26721667,-2.9279
43.26735,-2.92806667
43.26748333,-2.92825
43.26761667,-2.92841667
43.26775,-2.92858333
43.26786667,-2.92875
43.268,-2.92891667
43.26813333,-2.92908333
43.26826667,-2.92925
43.2684,-2.92943333
43.26853333,-2.9296
43.26866667,-2.92976667
43.26878333,-2.92993333
43.26891667,-2.9301
43.26905,-2.93026667
43.26918333,-2.93045
43.26931667,-2.93061667
43.26941667,-2.9308
43.26953333,-2.931
43.26963333,-2.9312
43.2697,-2.93143333
43.26976667,-2.93166667
43.26983333,-2.9319
43.26988333,-2.93213333
43.26993333,-2.93236667
43.27,-2.9326
43.27001667,-2.93285
43.27003333,-2.9331
43.27005,-2.93333333
43.27006667,-2.93358333
43.2701,-2.93383333
43.2701,-2.93408333
43.27011667,-2.93431667
43.27011667,-2.93456667
43.27013333,-2.93481667
43.27013333,-2.93506667
43.27015,-2.93531667
43.27015,-2.93555
43.27016667,-2.9358
43.27018333,-2.93605
43.27018333,-2.9363
43.2702,-2.93655
43.2702,-2.93678333
43.2702,-2.93703333
43.27018333,-2.93728333
43.27016667,-2.93753333
43.27015,-2.93778333
43.27015,-2.93801667
43.27013333,-2.93826667
43.27011667,-2.93851667
43.27011667,-2.93876667
43.2701,-2.93901667
43.27008333,-2.93925
43.2701,-2.9395
43.27011667,-2.93975
43.27005,-2.93996667
43.2701,-2.93998333
